id,name,date,rating,studio
1000080,Anatomy of a Fall,2023,4.15,France 2 Cinéma
1000151,Portrait of a Lady on Fire,2019,4.43,ARTE France Cinéma
1000260,Your Name.,2016,4.21,TOHO
1000268,The Worst Person in the World,2021,4.12,Film i Väst
1000268,The Worst Person in the World,2021,4.12,ARTE France Cinéma
1000281,Triangle of Sadness,2022,3.69,Film i Väst
1000281,Triangle of Sadness,2022,3.69,ARTE France Cinéma
1000367,Godzilla Minus One,2023,4.12,TOHO
1000443,Another Round,2020,4.08,Film i Väst
1000546,Titane,2021,3.63,ARTE France Cinéma
1000600,Climax,2018,3.78,ARTE France Cinéma
1000731,Lucy,2014,2.74,Canal+
1000755,The House That Jack Built,2018,3.61,Film i Väst
1000781,Pokémon Detective Pikachu,2019,3.04,TOHO
1000865,Monster,2023,4.3,TOHO
1000981,Suzume,2022,3.84,TOHO
1000991,Godzilla: King of the Monsters,2019,2.79,TOHO
1001138,Lamb,2021,3.13,Film i Väst
1001198,Atomic Blonde,2017,3.27,Film i Väst
1001330,High Life,2018,3.24,ARTE France Cinéma
1001359,Cold War,2018,4.03,ARTE France Cinéma
1001376,Petite Maman,2021,4.1,Canal+
1001376,Petite Maman,2021,4.1,France 3 Cinéma
1001383,When Marnie Was There,2014,3.84,TOHO
1001481,Wolfwalkers,2020,4.19,Canal+
1001487,My Life as a Zucchini,2016,4.16,France 3 Cinéma
1001498,Shin Godzilla,2016,3.85,TOHO
1001521,Weathering with You,2019,3.65,TOHO
1001527,La Chimera,2023,4.05,RAI Cinema
1001527,La Chimera,2023,4.05,ARTE France Cinéma
1001601,Annette,2021,3.38,ARTE France Cinéma
1001641,Bacurau,2019,3.9,ARTE France Cinéma
1001644,The Dead Don't Die,2019,2.67,Film i Väst
1001762,Sick of Myself,2022,3.73,Film i Väst
1001776,The Square,2017,3.63,ARTE France Cinéma
1001776,The Square,2017,3.63,Film i Väst
1001811,Victoria,2015,3.92,ARTE
1001840,Jujutsu Kaisen 0,2021,3.93,TOHO
1001977,Benedetta,2021,3.46,France 2 Cinéma
1001977,Benedetta,2021,3.46,France 3 Cinéma
1002000,Force Majeure,2014,3.88,Film i Väst
1002065,Flee,2021,4.19,ARTE
1002075,Personal Shopper,2016,3.41,ARTE
1002075,Personal Shopper,2016,3.41,ARTE France Cinéma
1002151,Demon Slayer – Kimetsu no Yaiba – The Movie: Mugen Train,2020,3.94,TOHO
1002167,Thelma,2017,3.7,Film i Väst
1002186,Belle,2021,3.46,TOHO
1002318,The Taste of Things,2023,3.94,France 2 Cinéma
1002465,The Teachers’ Lounge,2023,3.78,ARTE
