id,name,date,rating,studio
1000151,Portrait of a Lady on Fire,2019,4.43,ARTE France Cinéma
1000268,The Worst Person in the World,2021,4.12,ARTE France Cinéma
1000281,Triangle of Sadness,2022,3.69,ARTE France Cinéma
1000546,Titane,2021,3.63,ARTE France Cinéma
1000600,Climax,2018,3.78,ARTE France Cinéma
1001330,High Life,2018,3.24,ARTE France Cinéma
1001359,Cold War,2018,4.03,ARTE France Cinéma
1001527,La Chimera,2023,4.05,ARTE France Cinéma
1001601,Annette,2021,3.38,ARTE France Cinéma
1001641,Bacurau,2019,3.9,ARTE France Cinéma
1001776,The Square,2017,3.63,ARTE France Cinéma
1002075,Personal Shopper,2016,3.41,ARTE France Cinéma
1002675,The Red Turtle,2016,3.87,ARTE France Cinéma
1002842,Holy Spider,2022,3.62,ARTE France Cinéma
1003114,Bergman Island,2021,3.61,ARTE France Cinéma
1003324,The Beast,2023,3.62,ARTE France Cinéma
1003452,Faces Places,2017,4.14,ARTE France Cinéma
1003592,Winter Sleep,2014,4.17,ARTE France Cinéma
1003677,Girlhood,2014,3.73,ARTE France Cinéma
1003832,Clouds of Sils Maria,2014,3.67,ARTE France Cinéma
1003866,Atlantics,2019,3.66,ARTE France Cinéma
1003985,Loveless,2017,3.88,ARTE France Cinéma
1004061,A Pigeon Sat on a Branch Reflecting on Existence,2014,3.81,ARTE France Cinéma
1004095,The Salesman,2016,3.84,ARTE France Cinéma
1004277,Knife+Heart,2018,3.54,ARTE France Cinéma
1004291,Undine,2020,3.62,ARTE France Cinéma
1004307,About Dry Grasses,2023,4,ARTE France Cinéma
1004336,A Hero,2021,3.8,ARTE France Cinéma
1004421,Saint Omer,2022,3.76,ARTE France Cinéma
1004606,Transit,2018,3.86,ARTE France Cinéma
1004618,Deerskin,2019,3.58,ARTE France Cinéma
1005004,Ash Is Purest White,2018,3.78,ARTE France Cinéma
1005012,Things to Come,2016,3.76,ARTE France Cinéma
1005463,Stars at Noon,2022,3.02,ARTE France Cinéma
1005574,About Endlessness,2019,3.68,ARTE France Cinéma
1005655,Happy End,2017,3.45,ARTE France Cinéma
1005667,Pacifiction,2022,3.61,ARTE France Cinéma
1006128,Louder Than Bombs,2015,3.45,ARTE France Cinéma
1006462,The Wild Goose Lake,2019,3.55,ARTE France Cinéma
1006472,Nocturama,2016,3.61,ARTE France Cinéma
1006735,France,2021,3.24,ARTE France Cinéma
1007093,Timbuktu,2014,3.75,ARTE France Cinéma
1007243,The Innocent,2022,3.58,ARTE France Cinéma
1007533,Anaïs in Love,2021,3.58,ARTE France Cinéma
1008108,Incredible But True,2022,3.35,ARTE France Cinéma
1008230,Synonyms,2019,3.44,ARTE France Cinéma
1008265,Cairo Conspiracy,2022,3.52,ARTE France Cinéma
1008366,Hitchcock/Truffaut,2015,3.63,ARTE France Cinéma
1008656,April and the Extraordinary World,2015,3.64,ARTE France Cinéma
1008753,Pasolini,2014,3.34,ARTE France Cinéma
1008756,Mountains May Depart,2015,3.7,ARTE France Cinéma
1008777,Foxtrot,2017,3.87,ARTE France Cinéma
1008975,Saint Laurent,2014,3.31,ARTE France Cinéma
1009411,Masaan,2015,4.01,ARTE France Cinéma
1009442,The Passengers of the Night,2022,3.65,ARTE France Cinéma
1010081,Non-Fiction,2018,3.3,ARTE France Cinéma
1010133,The Swarm,2020,2.8,ARTE France Cinéma
1010754,Sorry Angel,2018,3.61,ARTE France Cinéma
1010977,Zombi Child,2019,3.26,ARTE France Cinéma
1011186,Ava,2017,3.53,ARTE France Cinéma
1011320,Vincent Must Die,2023,3.29,ARTE France Cinéma
1012074,Sieranevada,2016,3.89,ARTE France Cinéma
1012254,Fire at Sea,2016,3.51,ARTE France Cinéma
1012339,Amanda,2018,3.68,ARTE France Cinéma
1012372,Hold Me Tight,2021,3.6,ARTE France Cinéma
1012379,The Whistlers,2019,3.26,ARTE France Cinéma
1012633,Lover for a Day,2017,3.57,ARTE France Cinéma
1013011,"Onoda: 10,000 Nights in the Jungle",2021,3.77,ARTE France Cinéma
1013425,Gett: The Trial of Viviane Amsalem,2014,4.01,ARTE France Cinéma
1013739,Diary of a Fleeting Affair,2022,3.54,ARTE France Cinéma
1013988,Ahed's Knee,2021,3.34,ARTE France Cinéma
1014088,Love According to Dalva,2022,3.76,ARTE France Cinéma
1014283,To Chiara,2021,3.47,ARTE France Cinéma
1015179,Arab Blues,2019,3.15,ARTE France Cinéma
1015458,The Measure of a Man,2015,3.53,ARTE France Cinéma
1015687,Slack Bay,2016,3.26,ARTE France Cinéma
1015810,"Blind Willow, Sleeping Woman",2022,3.43,ARTE France Cinéma
1015935,They Shot the Piano Player,2023,3.29,ARTE France Cinéma
1016591,Shéhérazade,2018,3.64,ARTE France Cinéma
1017038,Notturno,2020,3.47,ARTE France Cinéma
1017352,Clash,2016,3.78,ARTE France Cinéma
1017369,Eureka,2023,3.29,ARTE France Cinéma
1017655,Moneyboys,2021,3.22,ARTE France Cinéma
1017783,Lady J,2018,3.28,ARTE France Cinéma
1017835,Adolescents,2019,3.76,ARTE France Cinéma
1018050,Dead Souls,2018,4.03,ARTE France Cinéma
1018079,Staying Vertical,2016,3.36,ARTE France Cinéma
1018111,The Summit,2017,3.09,ARTE France Cinéma
1018634,Francofonia,2015,3.48,ARTE France Cinéma
1020132,Banel & Adama,2023,3.28,ARTE France Cinéma
1020321,This Summer Feeling,2015,3.62,ARTE France Cinéma
1020390,Oh Mercy,2019,3.2,ARTE France Cinéma
1020582,DNA,2020,3.16,ARTE France Cinéma
1020636,In the Shadow of Women,2015,3.47,ARTE France Cinéma
1020716,I Still Hide to Smoke,2016,3.75,ARTE France Cinéma
1021429,Sparta,2022,3.52,ARTE France Cinéma
1021794,The Crossing,2021,3.78,ARTE France Cinéma
1021859,Jessica Forever,2018,3.14,ARTE France Cinéma
1022682,Dahomey,2024,3.53,ARTE France Cinéma
1022809,Skies of Lebanon,2020,3.58,ARTE France Cinéma
1022940,The Cordillera of Dreams,2019,3.73,ARTE France Cinéma
1023075,Father,2020,3.74,ARTE France Cinéma
1023091,Animalia,2023,3.1,ARTE France Cinéma
1023529,Tremors,2019,3.47,ARTE France Cinéma
1023712,My Imaginary Country,2022,3.62,ARTE France Cinéma
1024071,The Treasure,2015,3.47,ARTE France Cinéma
1024369,Alice and the Mayor,2019,3.25,ARTE France Cinéma
1024532,Louise by the Shore,2016,3.69,ARTE France Cinéma
1024769,A Gentle Creature,2017,3.4,ARTE France Cinéma
1025227,Dilili in Paris,2018,3.32,ARTE France Cinéma
1025500,Mrs. Hyde,2017,2.95,ARTE France Cinéma
1025915,Daguerrotype,2016,3.23,ARTE France Cinéma
1026254,Bruno Reidal: Confession of a Murderer,2021,3.5,ARTE France Cinéma
1026398,Maya,2018,3.17,ARTE France Cinéma
1026410,The Kindergarten Teacher,2014,3.56,ARTE France Cinéma
1026563,Xenia,2014,3.33,ARTE France Cinéma
1026920,You Deserve a Lover,2019,3.31,ARTE France Cinéma
1027502,Stefan Zweig: Farewell to Europe,2016,3.5,ARTE France Cinéma
1027759,Undercover,2021,3.26,ARTE France Cinéma
1029642,The Plough,2023,3.27,ARTE France Cinéma
1030340,Casa Susanna,2022,3.62,ARTE France Cinéma
1030488,Saturn Return,2024,3.58,ARTE France Cinéma
1031148,Returning to Reims (Fragments),2021,3.69,ARTE France Cinéma
1031648,A Paris Education,2018,3.48,ARTE France Cinéma
1031731,Voyages en Italie,2023,3.47,ARTE France Cinéma
1035601,Remains of the Wind,2022,3.52,ARTE France Cinéma
1036128,French Tech,2020,3.26,ARTE France Cinéma
1037082,Real Love,2018,3.47,ARTE France Cinéma
1037490,Lost Country,2023,3.29,ARTE France Cinéma
1038016,Good Mother,2021,3.52,ARTE France Cinéma
1038502,The Line,2022,3.15,ARTE France Cinéma
1040505,Foreign Language,2024,3.39,ARTE France Cinéma
1042100,Soul Mates,2023,2.86,ARTE France Cinéma
1042796,Nahid,2015,2.79,ARTE France Cinéma
1044173,Eva,2018,2.56,ARTE France Cinéma
1044750,Caprice,2015,3.38,ARTE France Cinéma
1046263,Amnesia,2015,3.1,ARTE France Cinéma
1050189,The Stopover,2016,3.29,ARTE France Cinéma
1050861,On Call,2016,3.63,ARTE France Cinéma
1052335,Copilot,2021,3.39,ARTE France Cinéma
1052399,A Season in France,2017,3.44,ARTE France Cinéma
1052772,Kinshasa Makambo,2018,3.47,ARTE France Cinéma
1053550,Little Hands,2017,3.36,ARTE France Cinéma
1053626,The Great Magic,2022,3.14,ARTE France Cinéma
1055661,South Terminal,2019,3.35,ARTE France Cinéma
1056157,Farewell to the Night,2019,3.16,ARTE France Cinéma
1057445,School of Babel,2014,3.49,ARTE France Cinéma
1059454,The Venerable W.,2017,3.45,ARTE France Cinéma
1062713,"No Gods, No Masters: A History of Anarchism",2016,3.73,ARTE France Cinéma
1062788,Paradise,2022,3.47,ARTE France Cinéma
1063339,A Violent Life,2017,3.44,ARTE France Cinéma
1068520,Harkis,2022,3.16,ARTE France Cinéma
1070009,Antarctica Calling,2023,3.23,ARTE France Cinéma
1071946,Living and Knowing You Are Alive,2019,3.53,ARTE France Cinéma
1074214,Intercepted,2024,3.55,ARTE France Cinéma
1083165,Daydreams,2016,3.31,ARTE France Cinéma
1085635,Sing Me a Song,2019,3.39,ARTE France Cinéma
1085761,Cinema Through the Eye of Magnum,2017,3.54,ARTE France Cinéma
1090962,The Lies of the Victors,2014,3.28,ARTE France Cinéma
1093217,Amin,2018,3.27,ARTE France Cinéma
1104921,The Great Game,2015,3.16,ARTE France Cinéma
