id,name,date,rating,studio
1003078,"The Boy, the Mole, the Fox and the Horse",2022,3.59,BBC
1004343,Sherlock: The Abominable Bride,2016,3.67,BBC
1004776,Mangrove,2020,4.08,BBC
1005367,HyperNormalisation,2016,4.13,BBC
1006046,Sherlock: The Final Problem,2017,3.74,BBC
1006354,The Little Drummer Girl,2018,3.85,BBC
1006506,Doctor Who: The Star Beast,2023,3.45,BBC
1006783,The Night Manager,2016,3.84,BBC
1006893,Doctor Who: The Giggle,2023,3.83,BBC
1006903,Doctor Who: Wild Blue Yonder,2023,3.89,BBC
1007421,Conversations with Friends,2022,3.23,BBC
1007812,And Then There Were None,2015,3.88,BBC
1008076,War and Peace,2016,3.95,BBC
1008285,Sherlock: His Last Vow,2014,3.92,BBC
1008416,Dracula,2020,3.17,BBC
1008482,This Is Going to Hurt,2022,4.35,BBC
1008484,Education,2020,3.8,BBC
1008972,Sherlock: The Six Thatchers,2017,3.58,BBC
1009112,Alex Wheatle,2020,3.44,BBC
1009459,Sherlock: The Lying Detective,2017,3.85,BBC
1011209,Little Women,2017,3.57,BBC
1011426,The Miniaturist,2017,3.33,BBC
1011877,An Inspector Calls,2015,3.45,BBC
1012153,King Lear,2018,3.17,BBC
1012186,A Very English Scandal,2018,3.77,BBC
1012516,The North Water,2021,3.92,BBC
1012797,Bitter Lake,2015,4.07,BBC
1013618,Together,2021,3.26,BBC
1014340,Doctor Who: Twice Upon a Time,2017,3.66,BBC
1014542,Doctor Who: The Husbands of River Song,2015,3.77,BBC
1014992,Ethel & Ernest,2016,3.84,BBC
1016827,FX's A Christmas Carol,2019,3.24,BBC
1018041,Click & Collect,2018,3.12,BBC
1018075,The Mole: Undercover in North Korea,2020,3.9,BBC
1018769,Doctor Who: Revolution of the Daleks,2021,2.91,BBC
1019564,Four Hours at the Capitol,2021,3.39,BBC
1019794,Doctor Who: Eve of the Daleks,2022,3.22,BBC
1019915,The Farthest,2017,3.92,BBC
1021243,Doctor Who: Legend of the Sea Devils,2022,2.28,BBC
1021379,Collateral,2018,3.25,BBC
1021556,Nothing Like a Dame,2018,3.63,BBC
1022271,Tokyo Idols,2017,3.52,BBC
1022559,The Tourist,2022,3.38,BBC
1023429,Thirteen,2016,3.69,BBC
1023728,Peter Pan Goes Wrong,2016,4.08,BBC
1024163,A Grand Night In: The Story of Aardman,2015,3.71,BBC
1024579,Vigil,2021,3.68,BBC
1024676,9/11: Inside the President's War Room,2021,3.46,BBC
1024706,Louis Theroux: Savile,2016,3.63,BBC
1025785,The Eyes of Orson Welles,2018,3.4,BBC
1026005,Doctor Who: The Woman Who Fell to Earth,2018,3.06,BBC
1026129,Man in an Orange Shirt,2017,3.55,BBC
1026343,Boiling Point,2023,4.06,BBC
1026562,Avicii: True Stories,2017,3.62,BBC
1026845,Roald Dahl's Esio Trot,2015,3.24,BBC
1028915,Marvellous,2014,3.83,BBC
1029833,Louis Theroux's Forbidden America,2022,3.7,BBC
1030944,The Dresser,2015,3.49,BBC
1032786,Carnage: Swallowing the Past,2017,3.67,BBC
1033033,The Eichmann Show,2015,3.23,BBC
1033138,The Windermere Children,2020,3.52,BBC
1033708,A Christmas Carol Goes Wrong,2017,3.64,BBC
1033919,The Gamechangers,2015,2.91,BBC
1034168,One Red Nose Day and a Wedding,2019,3.43,BBC
1034349,Sylvia Plath: Inside The Bell Jar,2018,3.47,BBC
1034394,The Kate Bush Story: Running Up That Hill,2014,3.61,BBC
