id,name,date,rating,studio
1000731,Lucy,2014,2.74,Canal+
1001376,Petite Maman,2021,4.1,Canal+
1001481,Wolfwalkers,2020,4.19,Canal+
1003278,Gunpowder Milkshake,2021,2.83,Canal+
1004310,The Animal Kingdom,2023,3.61,Canal+
1004635,Miss Sloane,2016,3.65,Canal+
1006200,Goodbye to Language,2014,3.38,Canal+
1006213,The Night Eats the World,2018,3.2,Canal+
1006705,An Officer and a Spy,2019,3.5,Canal+
1007262,The Book of Solutions,2023,3.35,Canal+
1007314,The Three Musketeers: Milady,2023,3.2,Canal+
1007453,Summertime,2015,3.56,Canal+
1007460,Lost Illusions,2021,3.76,Canal+
1007465,A Brighter Tomorrow,2023,3.48,Canal+
1007523,A Faithful Man,2018,3.03,Canal+
1007749,Pinocchio,2019,2.85,Canal+
1007867,Baghead,2023,2.3,Canal+
1008044,Beauty and the Beast,2014,2.97,Canal+
1008380,The Traitor,2019,3.59,Canal+
1008394,Bastille Day,2016,2.74,Canal+
1008456,The Captain,2017,3.84,Canal+
1008554,Godard Mon Amour,2017,3.2,Canal+
1008606,Bye Bye Morons,2020,3.4,Canal+
1008937,La Abuela (The Grandmother),2021,2.96,Canal+
1008959,My Son,2021,2.8,Canal+
1009017,See You Up There,2017,3.81,Canal+
1009322,Custody,2017,3.87,Canal+
1009323,Just the Two of Us,2023,3.57,Canal+
1009747,Kidnapped,2023,3.51,Canal+
1009845,November,2022,3.34,Canal+
1009918,Suite Française,2014,3.3,Canal+
1010020,Masquerade,2022,3.31,Canal+
1010107,The Specials,2019,3.79,Canal+
1010190,The Mustang,2019,3.52,Canal+
1010554,L'immensità,2022,3.33,Canal+
1010754,Sorry Angel,2018,3.61,Canal+
1010871,The Little Stranger,2018,2.83,Canal+
1011186,Ava,2017,3.53,Canal+
1011405,Winter Boy,2022,3.54,Canal+
1011647,Asterix: The Mansions of the Gods,2014,3.34,Canal+
1012113,A Real Job,2023,3.32,Canal+
1012372,Hold Me Tight,2021,3.6,Canal+
1012568,The Night Logan Woke Up,2022,3.96,Canal+
1012600,Domino,2019,2.5,Canal+
1012828,Young Ahmed,2019,3.24,Canal+
1012985,The Silent Twins,2022,3.12,Canal+
1013011,"Onoda: 10,000 Nights in the Jungle",2021,3.77,Canal+
1013425,Gett: The Trial of Viviane Amsalem,2014,4.01,Canal+
1013428,The Transporter Refueled,2015,2.16,Canal+
1013537,Based on a True Story,2017,2.81,Canal+
1013904,Grace of Monaco,2014,2.59,Canal+
1013945,Eye for an Eye,2019,3.31,Canal+
1014015,Only the Animals,2019,3.6,Canal+
1014084,Three Floors,2021,3.14,Canal+
1014247,Love Affair(s),2020,3.59,Canal+
1014377,The Hunting Ground,2015,3.81,Canal+
1014453,The Gunman,2015,2.54,Canal+
1014883,Lingui: The Sacred Bonds,2021,3.55,Canal+
1014991,Rodeo,2022,3.36,Canal+
1015194,Calls,2021,4.03,Canal+
1015458,The Measure of a Man,2015,3.53,Canal+
1015608,The Man with the Iron Heart,2017,3.12,Canal+
1015703,Mr & Mme Adelman,2017,3.72,Canal+
1015887,Second Tour,2023,3.14,Canal+
1015938,MILF,2018,2.14,Canal+
1016019,The Braid,2023,3.43,Canal+
1016033,National Gallery,2014,3.86,Canal+
1016048,The African Doctor,2016,3.31,Canal+
1017157,La Flamme,2020,3.93,Canal+
1017301,"Cyrano, My Love",2018,3.67,Canal+
1017349,School's Out,2018,3.43,Canal+
1017896,Jimmy's Hall,2014,3.39,Canal+
1018911,Microbe and Gasoline,2015,3.53,Canal+
1019132,On a Magical Night,2019,3.28,Canal+
1019202,Bâtiment 5,2023,3.4,Canal+
1019423,Mother,2019,3.45,Canal+
1019539,Dustin,2020,3.45,Canal+
1019591,Deep Fear,2023,1.55,Canal+
1020582,DNA,2020,3.16,Canal+
1020600,Just a Breath Away,2018,2.8,Canal+
1021030,Red Island,2023,3.05,Canal+
1021241,Brother and Sister,2022,2.66,Canal+
1021546,Bang Gang (A Modern Love Story),2015,2.79,Canal+
1021798,The New Adventures of Aladdin,2015,2.09,Canal+
1022009,Rosalie,2023,3.29,Canal+
1022102,Gemma Bovery,2014,2.99,Canal+
1022124,Superchondriac,2014,2.64,Canal+
1022341,Phantom Boy,2015,3.4,Canal+
1023014,Return of the Hero,2018,3.18,Canal+
1023055,Driving Madeleine,2022,3.47,Canal+
1023132,Visions,2023,3.03,Canal+
1023453,Mia and the White Lion,2018,2.89,Canal+
1023478,Alone in Berlin,2016,3.1,Canal+
1023479,Felicità,2020,3.61,Canal+
1023547,Among the Living,2014,2.82,Canal+
1024145,My Big Night,2015,3.15,Canal+
1025138,Sky High,2020,2.4,Canal+
1025365,Perfect Nanny,2019,3.21,Canal+
1025592,The Ruthless,2019,2.94,Canal+
1025660,I.T.,2016,2.37,Canal+
1026007,Get In,2019,2.69,Canal+
1026467,Chickenhare and the Hamster of Darkness,2022,2.74,Canal+
1026900,The Crusade,2021,2.7,Canal+
1026927,Never Grow Old,2019,3.18,Canal+
1027043,Saturn Bowling,2022,3.25,Canal+
1027430,The Courier,2024,2.62,Canal+
1027579,Stéphane,2023,3.59,Canal+
1027696,Lovers,2020,2.64,Canal+
1027867,The Emperor of Paris,2018,2.97,Canal+
1028136,The Bouncer,2018,2.96,Canal+
1028175,My Zoe,2019,2.91,Canal+
1028214,Dear Mother,2020,2.8,Canal+
1028407,To Steal from a Thief,2016,2.99,Canal+
1029595,Reinventing Marvin,2017,3.33,Canal+
1029755,Barbara,2017,3.34,Canal+
1030275,Authentik,2021,3.46,Canal+
1030558,30 Days Max,2020,2.65,Canal+
1031480,Gauguin: Voyage to Tahiti,2017,2.82,Canal+
1031656,The Crew,2015,3.04,Canal+
1031984,Carmina and Amen,2014,3.57,Canal+
1032480,The Wolf and the Lion,2021,2.56,Canal+
1032570,To the Ends of the World,2018,3.31,Canal+
1032788,Sahara,2017,2.54,Canal+
1032926,Muse,2017,2.6,Canal+
1033222,Apaches: Gang of Paris,2023,2.97,Canal+
1033389,Renegades,2017,2.48,Canal+
1033419,The Collapse,2019,3.99,Canal+
1033796,Alone,2017,2.74,Canal+
1033987,Gun City,2018,3.04,Canal+
1034978,The Warriors Gate,2016,2.4,Canal+
1034993,The Lost Prince,2020,2.7,Canal+
1035066,Memoir of War,2017,3.32,Canal+
1035268,Django,2017,3.26,Canal+
1035362,"Hard Shell, Soft Shell",2021,3.44,Canal+
1037082,Real Love,2018,3.47,Canal+
1037326,Code Name: Emperor,2022,2.72,Canal+
1037612,De Gaulle,2020,2.95,Canal+
1037807,The Student and Mister Henri,2015,3.2,Canal+
1038069,In the Shadow of Iris,2016,2.79,Canal+
1038577,A Great Friend,2023,3.11,Canal+
1038793,The Search,2014,3.28,Canal+
1039951,The New Toy,2022,2.87,Canal+
1040121,My Days of Glory,2019,3.19,Canal+
1040167,Ibiza,2019,2.42,Canal+
1040544,Wonder Boy,2019,3.36,Canal+
1040785,With Open Arms,2017,2.36,Canal+
1040848,The Jews,2016,2.83,Canal+
1041258,For My Country,2022,3.33,Canal+
1041445,#Iamhere,2019,2.96,Canal+
1041497,10 Days with Dad,2020,2.68,Canal+
1042153,Spread Your Wings,2019,3.42,Canal+
1042657,Sympathy for the Devil,2019,3.72,Canal+
1043096,Happy 50,2022,2.82,Canal+
1043152,Metamorphoses,2014,3.09,Canal+
1043742,Un + une,2015,3.05,Canal+
1044296,Jealous,2017,3.11,Canal+
1044855,Ivan Tsarevitch and the Changing Princess,2016,3.64,Canal+
1045277,Do Not Disturb,2014,2.71,Canal+
1047284,The Royal Exchange,2017,3.26,Canal+
1048016,Rebels,2019,3.13,Canal+
1048411,Party of Fools,2023,3,Canal+
1048909,The Summer House,2018,2.93,Canal+
1049084,Faultless,2016,3.38,Canal+
1050068,The Gravity,2022,3.08,Canal+
1050768,Ogres,2015,3.47,Canal+
1051777,Rabid Dogs,2015,3.14,Canal+
1052058,Elementary,2016,3.47,Canal+
1052265,Monsieur Spade,2024,3.45,Canal+
1052276,The Sweet Escape,2015,3.4,Canal+
1053021,The Man in the Basement,2021,2.86,Canal+
1053070,Camille,2019,3.4,Canal+
1053306,Wild Seas,2022,3.14,Canal+
1054196,Aznavour by Charles,2019,3.57,Canal+
1056108,Normal,2022,3.33,Canal+
1057082,The Third War,2020,3.22,Canal+
1057735,Our Men,2021,3.04,Canal+
1058356,Normandy Nude,2018,3.05,Canal+
1059246,And the Party Goes On,2023,3.17,Canal+
1060700,Take a Chance on Me,2023,3.09,Canal+
1063339,A Violent Life,2017,3.44,Canal+
1064529,Golden Youth,2019,2.99,Canal+
1064596,Save Our School,2022,3.21,Canal+
1064898,Sophie's Misfortunes,2016,3.12,Canal+
1065566,Not My Type,2022,3.18,Canal+
1066231,Acid,2018,3.37,Canal+
1067514,Sparring,2017,3.34,Canal+
1067579,Blue Fear,2020,3.23,Canal+
1068199,Kidnapping Inc.,2024,3.27,Canal+
1069593,Like a Prince,2023,3.1,Canal+
1070350,Just a Couple of Days,2024,3.41,Canal+
1071612,Neneh Superstar,2022,3.12,Canal+
1072107,Savage State,2019,3.07,Canal+
1072159,"Casanova, Last Love",2019,2.94,Canal+
1072678,Blue Dog,2018,3.47,Canal+
1077679,Last Call for Nowhere,2016,2.78,Canal+
1077926,Mr. Know-It-All,2018,3.28,Canal+
1079239,Keep Going,2018,3.17,Canal+
1079322,The Jump,2019,3.26,Canal+
1079497,Here and There,2024,2.91,Canal+
1080470,Vanishing,2021,2.99,Canal+
1081890,Enterrement de vie de garçon,2024,3.59,Canal+
1082807,Stars by the Pound,2018,3.31,Canal+
1085540,The Chef's Wife,2014,3.12,Canal+
1089101,Kyan Khojandi : Une bonne soirée,2023,3.69,Canal+
1093217,Amin,2018,3.27,Canal+
1093689,Not a Word,2020,3.49,Canal+
1094706,The Last Diamond,2014,3.2,Canal+
1097148,Savages,2019,3.52,Canal+
1099263,Roman Frayssinet : Ô dedans,2024,3.58,Canal+
1099675,8 Days: To the Moon and Back,2019,3.48,Canal+
1104645,Fast Convoy,2016,3.19,Canal+
1104692,Roman Frayssinet - Alors,2022,3.56,Canal+
1105191,Bécassine !,2018,3.15,Canal+
1106948,Le K Benzema,2017,3.32,Canal+
1109976,Les Gorilles,2015,2.64,Canal+
1110048,Saddle Up For Revenge,2021,3.25,Canal+
1110170,Discount,2014,3.31,Canal+
1111839,My Mother Is Crazy,2018,2.98,Canal+
1112376,Paul Mirabel : Zèbre,2023,3.17,Canal+
1114599,"Bangkok, We Have A Problem!",2014,2.8,Canal+
1118196,Florence Foresti : Epilogue,2019,3.34,Canal+
1121579,MST : Moyennement Sûr du Titre,2022,3.52,Canal+
