id,name,date,rating,studio
1001376,Petite Maman,2021,4.1,France 3 Cinéma
1001487,My Life as a Zucchini,2016,4.16,France 3 Cinéma
1001977,Benedetta,2021,3.46,France 3 Cinéma
1002651,The Sisters Brothers,2018,3.56,France 3 Cinéma
1003371,Happening,2021,3.97,France 3 Cinéma
1003715,BPM (Beats per Minute),2017,3.96,France 3 Cinéma
1005612,Everybody Knows,2018,3.35,France 3 Cinéma
1005655,Happy End,2017,3.45,France 3 Cinéma
1005815,All Your Faces,2023,4.02,France 3 Cinéma
1006567,Mr. Turner,2014,3.54,France 3 Cinéma
1006705,An Officer and a Spy,2019,3.5,France 3 Cinéma
1006833,Daaaaaalí!,2023,3.51,France 3 Cinéma
1007242,R.M.N.,2022,3.73,France 3 Cinéma
1007453,Summertime,2015,3.56,France 3 Cinéma
1007460,Lost Illusions,2021,3.76,France 3 Cinéma
1007465,A Brighter Tomorrow,2023,3.48,France 3 Cinéma
1007503,Cuties,2020,2.54,France 3 Cinéma
1007712,The Truth,2019,3.34,France 3 Cinéma
1007891,Jeanne du Barry,2023,2.97,France 3 Cinéma
1008513,Graduation,2016,3.73,France 3 Cinéma
1008554,Godard Mon Amour,2017,3.2,France 3 Cinéma
1009322,Custody,2017,3.87,France 3 Cinéma
1009908,Revoir Paris,2022,3.53,France 3 Cinéma
1010008,Love at Second Sight,2019,3.46,France 3 Cinéma
1010190,The Mustang,2019,3.52,France 3 Cinéma
1010447,Proxima,2019,3.43,France 3 Cinéma
1010870,An Easy Girl,2019,2.9,France 3 Cinéma
1011183,Other People's Children,2022,3.56,France 3 Cinéma
1011668,Simone: Woman of the Century,2022,3.64,France 3 Cinéma
1012962,Everybody Loves Jeanne,2022,3.54,France 3 Cinéma
1013022,Chicken for Linda!,2023,3.83,France 3 Cinéma
1013225,Josep,2020,3.84,France 3 Cinéma
1013317,School Life,2019,3.21,France 3 Cinéma
1013423,Long Way North,2015,3.66,France 3 Cinéma
1014015,Only the Animals,2019,3.6,France 3 Cinéma
1014084,Three Floors,2021,3.14,France 3 Cinéma
1014969,The Pearl Button,2015,3.86,France 3 Cinéma
1015593,"My Donkey, My Lover & I",2020,3.34,France 3 Cinéma
1015643,Planetarium,2016,2.53,France 3 Cinéma
1015720,Softie,2021,3.63,France 3 Cinéma
1015749,Father & Soldier,2022,3.1,France 3 Cinéma
1015828,The Worst Ones,2022,3.64,France 3 Cinéma
1016164,The Good Teacher,2024,3.14,France 3 Cinéma
1016250,Through the Fire,2018,3.57,France 3 Cinéma
1017012,On the Adamant,2023,3.41,France 3 Cinéma
1017097,Delicious,2021,3.3,France 3 Cinéma
1017616,In Safe Hands,2018,3.69,France 3 Cinéma
1019565,An Impossible Love,2018,3.52,France 3 Cinéma
1019729,The Bears' Famous Invasion of Sicily,2019,3.61,France 3 Cinéma
1019998,From the Land of the Moon,2016,3.26,France 3 Cinéma
1020463,Disorder,2015,3.23,France 3 Cinéma
1021030,Red Island,2023,3.05,France 3 Cinéma
1021046,The Girl with a Bracelet,2019,3.45,France 3 Cinéma
1021360,Ernest & Celestine: A Trip to Gibberitia,2022,3.67,France 3 Cinéma
1021728,All to Play For,2023,3.41,France 3 Cinéma
1022009,Rosalie,2023,3.29,France 3 Cinéma
1022341,Phantom Boy,2015,3.4,France 3 Cinéma
1022374,The President's Wife,2023,3.15,France 3 Cinéma
1022588,Abbé Pierre - A Century of Devotion,2023,3.39,France 3 Cinéma
1023014,Return of the Hero,2018,3.18,France 3 Cinéma
1024271,Marguerite,2015,3.37,France 3 Cinéma
1024800,Calamity,2020,3.69,France 3 Cinéma
1024952,At War,2018,3.56,France 3 Cinéma
1025057,On the Wandering Paths,2023,3.14,France 3 Cinéma
1025140,Valley of Love,2015,3.3,France 3 Cinéma
1025365,Perfect Nanny,2019,3.21,France 3 Cinéma
1026316,How to Be a Good Wife,2020,2.94,France 3 Cinéma
1026496,Marinette,2023,3.37,France 3 Cinéma
1026630,Out of Season,2023,3.24,France 3 Cinéma
1027353,White Fang,2018,3.29,France 3 Cinéma
1027696,Lovers,2020,2.64,France 3 Cinéma
1027733,Homecoming,2023,3.26,France 3 Cinéma
1027867,The Emperor of Paris,2018,2.97,France 3 Cinéma
1027997,Delete History,2020,2.87,France 3 Cinéma
1028322,The Year of the Shark,2022,2.69,France 3 Cinéma
1028400,Mother and Son,2022,3.4,France 3 Cinéma
1028856,It's Raining Men,2023,2.86,France 3 Cinéma
1029944,The Invisibles,2018,3.49,France 3 Cinéma
1031041,A Silence,2023,3.03,France 3 Cinéma
1031152,A Woman's Life,2016,3.27,France 3 Cinéma
1031913,"Bonnard, Pierre and Marthe",2023,3.2,France 3 Cinéma
1031964,Zaï Zaï Zaï Zaï,2020,3.2,France 3 Cinéma
1032061,Little Vampire,2020,3.42,France 3 Cinéma
1032141,Struggle for Life,2016,3.38,France 3 Cinéma
1032620,Two Tickets to Greece,2022,3.13,France 3 Cinéma
1033920,The Midwife,2017,3.3,France 3 Cinéma
1034276,One Man and his Cow,2016,3.25,France 3 Cinéma
1034434,Kitchen Brigade,2022,3.23,France 3 Cinéma
1034600,The Small Victories,2023,3.27,France 3 Cinéma
1035066,Memoir of War,2017,3.32,France 3 Cinéma
1035136,So Help Me God,2017,3.62,France 3 Cinéma
1035242,Zombillénium,2017,3.35,France 3 Cinéma
1035362,"Hard Shell, Soft Shell",2021,3.44,France 3 Cinéma
1036978,Rodin,2017,2.82,France 3 Cinéma
1037188,Bis Repetita,2024,3.35,France 3 Cinéma
1037612,De Gaulle,2020,2.95,France 3 Cinéma
1037633,Dofus - Book I: Julith,2016,3.7,France 3 Cinéma
1038577,A Great Friend,2023,3.11,France 3 Cinéma
1038793,The Search,2014,3.28,France 3 Cinéma
1039225,Murder Party,2021,2.73,France 3 Cinéma
1039944,The Apparition,2018,3.27,France 3 Cinéma
1040156,Family for Rent,2015,2.75,France 3 Cinéma
