id,name,date,rating,studio
1000260,Your Name.,2016,4.21,TOHO
1000367,Godzilla Minus One,2023,4.12,TOHO
1000781,Pokémon Detective Pikachu,2019,3.04,TOHO
1000865,Monster,2023,4.3,TOHO
1000981,Suzume,2022,3.84,TOHO
1000991,Godzilla: King of the Monsters,2019,2.79,TOHO
1001383,When Marnie Was There,2014,3.84,TOHO
1001498,Shin Godzilla,2016,3.85,TOHO
1001521,Weathering with You,2019,3.65,TOHO
1001840,Jujutsu Kaisen 0,2021,3.93,TOHO
1002151,Demon Slayer – Kimetsu no Yaiba – The Movie: Mugen Train,2020,3.94,TOHO
1002186,Belle,2021,3.46,TOHO
1002626,"Night Is Short, Walk on Girl",2017,4.17,TOHO
1003576,Jujutsu Kaisen,2020,4.26,TOHO
1003890,Our Little Sister,2015,4.06,TOHO
1004270,The Boy and the Beast,2015,3.82,TOHO
1004488,Monster Hunter,2020,2.01,TOHO
1004549,Promare,2019,3.77,TOHO
1005581,HAIKYU!! The Dumpster Battle,2024,4.16,TOHO
1005613,Ride Your Wave,2019,3.61,TOHO
1006541,Children of the Sea,2019,3.62,TOHO
1006671,My Hero Academia: Two Heroes,2018,3.27,TOHO
1006675,Shin Ultraman,2022,3.55,TOHO
1006845,As the Gods Will,2014,3.22,TOHO
1007067,SPY x FAMILY CODE: White,2023,3.63,TOHO
1007269,My Hero Academia: Heroes Rising,2019,3.54,TOHO
1007925,Blue Giant,2023,4.05,TOHO
1008005,Lupin III: The First,2019,3.63,TOHO
1008396,Demon Slayer: Kimetsu no Yaiba -To the Swordsmith Village-,2023,3.35,TOHO
1008881,Lu Over the Wall,2017,3.64,TOHO
1009663,My Hero Academia: World Heroes' Mission,2021,3.28,TOHO
1009701,GANTZ:O,2016,3.32,TOHO
1009761,Attack on Titan,2015,2.73,TOHO
1009998,Penguin Highway,2018,3.59,TOHO
1010006,Pokémon the Movie: Mewtwo Strikes Back - Evolution,2019,2.52,TOHO
1010041,Godzilla: Planet of the Monsters,2017,2.63,TOHO
1010790,I Am a Hero,2015,3.47,TOHO
1011049,Pokémon the Movie: I Choose You!,2017,3.06,TOHO
1011438,Modest Heroes,2018,3.37,TOHO
1011618,Dorohedoro,2020,4.11,TOHO
1012230,Fireworks,2017,2.51,TOHO
1012740,Great Pretender,2020,4.01,TOHO
1012873,Stand by Me Doraemon,2014,3.4,TOHO
1013888,Tomorrow I Will Date With Yesterday's You,2016,3.53,TOHO
1014570,Boruto: Naruto the Movie,2015,3.19,TOHO
1014696,Character,2021,3.42,TOHO
1014768,Blue Spring Ride,2014,3.76,TOHO
1015804,Akame ga Kill!,2014,3.42,TOHO
1015848,Orange,2016,3.76,TOHO
1015889,The Deer King,2021,3.14,TOHO
1016123,The Asadas!,2020,3.83,TOHO
1016551,JoJo's Bizarre Adventure: Diamond is Unbreakable – Chapter 1,2017,2.93,TOHO
1016583,Pokémon the Movie: The Power of Us,2018,3.11,TOHO
1017607,Dragon Quest: Your Story,2019,3.18,TOHO
1017936,Stand by Me Doraemon 2,2020,3.47,TOHO
1017990,Kubi,2023,3.35,TOHO
1018449,Pokémon the Movie: Secrets of the Jungle,2020,3.12,TOHO
1019011,Even if This Love Disappears from the World Tonight,2022,3.65,TOHO
1019152,Frieren: Beyond Journey's End,2023,4.45,TOHO
1019164,If Cats Disappeared from the World,2016,3.53,TOHO
1019178,Her Blue Sky,2019,3.35,TOHO
1019374,It Comes,2018,3.3,TOHO
1019563,Kingdom,2019,3.41,TOHO
1020032,Flying Colors,2015,3.61,TOHO
1020092,Orange,2015,3.48,TOHO
1020575,Spirited Away: Live on Stage,2022,4.17,TOHO
1020796,Little Witch Academia,2017,3.83,TOHO
1021536,Let Me Eat Your Pancreas,2017,3.43,TOHO
1021853,The Door into Summer,2021,2.87,TOHO
1022256,Survival Family,2016,3.63,TOHO
1022347,Parasyte: Part 1,2014,3.22,TOHO
1022659,The Promised Neverland,2020,3.47,TOHO
1023053,Attack on Titan II: End of the World,2015,2.09,TOHO
1023348,Last Letter,2020,3.53,TOHO
1023905,Assassination Classroom,2015,3.22,TOHO
1024535,The Tatami Time Machine Blues,2022,4.11,TOHO
1024609,Godzilla Singular Point,2021,3.35,TOHO
1024797,BNA,2020,3.47,TOHO
1025379,Detective Conan: Black Iron Submarine,2023,3.49,TOHO
1028134,Detective Conan: The Bride of Halloween,2022,3.41,TOHO
1028221,The Empire of Corpses,2015,3.02,TOHO
1029178,She and Her Cat: Everything Flows,2016,3.79,TOHO
1029433,Love Like the Falling Petals,2022,3.15,TOHO
1029656,Case Closed: The Fist of Blue Sapphire,2019,3.14,TOHO
1029981,Wotakoi: Love is Hard for Otaku,2020,2.57,TOHO
1030463,My Happy Marriage,2023,3.28,TOHO
1030613,Blue Spring Ride,2014,3,TOHO
1030720,Godzilla vs. Gigan Rex,2022,3.46,TOHO
1031252,Detective Conan: The Scarlet Bullet,2021,3.12,TOHO
1031585,Case Closed: Zero the Enforcer,2018,3.1,TOHO
1032432,Golden Kamuy,2024,3.32,TOHO
1032511,Café Funiculi Funicula,2018,3.34,TOHO
1032923,Ghost in the Shell: Arise - Border 3: Ghost Tears,2014,3.29,TOHO
1033097,Detective Conan: The Darkest Nightmare,2016,3.42,TOHO
1034052,Godzilla vs. Hedorah,2021,3.52,TOHO
1034062,Psycho-Pass: Providence,2023,3.36,TOHO
1034229,"Love Me, Love Me Not",2020,3.13,TOHO
1034413,Detective Conan: Sunflowers of Inferno,2015,3.09,TOHO
1034544,Initiation Love,2015,3.48,TOHO
1034551,Case Closed: The Crimson Love Letter,2017,3.19,TOHO
1034822,Detective Conan: Dimensional Sniper,2014,3.34,TOHO
1034981,FLCL Progressive,2018,2.85,TOHO
1035466,Godzilla vs. Megalon,2023,3.54,TOHO
1036768,Close Range Love,2014,2.55,TOHO
1036821,Ghost in the Shell: Arise - Border 4: Ghost Stands Alone,2014,3.38,TOHO
1036974,Chihayafuru: Part I,2016,3.48,TOHO
1037140,FLCL Alternative,2018,3.15,TOHO
1037590,Godzilla Fest 4: Operation Jet Jaguar,2023,3.71,TOHO
1039426,Ajin: Demi-Human,2017,3.12,TOHO
1039604,Over Drive,2018,2.99,TOHO
1039633,A Hundred Flowers,2022,3.44,TOHO
1040110,Laplace's Witch,2018,2.87,TOHO
1040259,Daytime Shooting Star,2017,3.05,TOHO
1040599,"April, Come She Will",2024,3.2,TOHO
1040860,Kids on the Slope,2018,3.32,TOHO
1041019,Lupin the 3rd,2014,2.87,TOHO
1042053,"Love Me, Love Me Not",2020,3.21,TOHO
1043093,Bakuman,2015,3.33,TOHO
1043845,Gridman Universe,2023,3.8,TOHO
1043978,Kingdom 2: Far and Away,2022,3.21,TOHO
1044435,Promare / Side: Galo,2019,3.44,TOHO
1044663,Kaguya-sama: Love is War,2019,3.28,TOHO
1045311,Masquerade Hotel,2019,3.18,TOHO
1045629,Teasing Master Takagi-san: The Movie,2022,3.68,TOHO
1046094,Promare / Side: Lio,2019,3.47,TOHO
1046791,Over the Sky,2020,2.75,TOHO
1048578,The Apothecary Diaries,2023,3.96,TOHO
1049175,Doraemon the Movie: Nobita's Sky Utopia,2023,3.31,TOHO
1049877,Too Young To Die!,2016,3.55,TOHO
1049941,Assassination Classroom: Graduation,2016,3.09,TOHO
1049977,Sand Land,2023,3.52,TOHO
1050860,KASANE –Beauty and Fate–,2018,3.25,TOHO
1051054,Fesu Gojira 3: Gaigan Raishū,2022,3.59,TOHO
1051154,The Great Yokai War: Guardians,2021,3.23,TOHO
1051466,Mixed Doubles,2017,3.26,TOHO
1051758,Sunny: Our Hearts Beat Together,2018,3.41,TOHO
1052198,Chihayafuru: Part III,2018,3.58,TOHO
1052393,My Love Story!!,2015,3.31,TOHO
1053811,Totto-chan: The Little Girl at the Window,2023,3.67,TOHO
1054095,Destiny: The Tale of Kamakura,2017,3.28,TOHO
1054209,"Let's Go, Jets!",2017,3.35,TOHO
1054785,What Did You Eat Yesterday?,2021,3.57,TOHO
