id,name,date,rating,studio
1001811,Victoria,2015,3.92,ARTE
1002065,Flee,2021,4.19,ARTE
1002075,Personal Shopper,2016,3.41,ARTE
1002465,The Teachers’ Lounge,2023,3.78,ARTE
1002553,Happy as Lazzaro,2018,4,ARTE
1002825,I Am Not Your Negro,2016,4.17,ARTE
1002831,Toni Erdmann,2016,3.95,ARTE
1003729,A Fantastic Woman,2017,3.73,ARTE
1003742,Phoenix,2014,3.99,ARTE
1003892,The Tale,2018,3.89,ARTE
1004095,The Salesman,2016,3.84,ARTE
1004291,Undine,2020,3.62,ARTE
1005150,Never Look Away,2018,3.9,ARTE
1005661,Martin Eden,2019,3.77,ARTE
1006339,Varda by Agnès,2019,4.03,ARTE
1007374,7500,2019,3.02,ARTE
1007492,Little Joe,2019,2.98,ARTE
1008380,The Traitor,2019,3.59,ARTE
1008450,The Vietnam War,2017,4.44,ARTE
1008777,Foxtrot,2017,3.87,ARTE
1009747,Kidnapped,2023,3.51,ARTE
1010671,Petrov's Flu,2021,3.64,ARTE
1010754,Sorry Angel,2018,3.61,ARTE
1010778,Samuel,2024,4.56,ARTE
1010852,I Am Jonas,2018,3.31,ARTE
1011159,Western,2017,3.78,ARTE
1011186,Ava,2017,3.53,ARTE
1011322,Forever Young,2022,3.49,ARTE
1011665,All Hands on Deck!,2020,3.75,ARTE
1011703,"Orlando, My Political Biography",2023,3.67,ARTE
1012124,78/52,2017,3.6,ARTE
1012140,The Swallows of Kabul,2019,3.77,ARTE
1012305,Scarlet,2022,3.54,ARTE
1012407,Fabian: Going to the Dogs,2021,3.87,ARTE
1012624,Berlin Alexanderplatz,2020,3.62,ARTE
1012829,Bye Bye Tiberias,2023,4.02,ARTE
1013011,"Onoda: 10,000 Nights in the Jungle",2021,3.77,ARTE
1013026,Center of My World,2016,3.2,ARTE
1013119,Little Girl,2020,4.02,ARTE
1013139,Will-o’-the-Wisp,2022,3.23,ARTE
1013961,Mia madre,2015,3.53,ARTE
1014047,The Invisible Guardian,2017,3.05,ARTE
1014455,Li'l Quinquin,2014,3.92,ARTE
1014656,Ingrid Bergman: In Her Own Words,2015,3.86,ARTE
1014927,Kubrick by Kubrick,2020,3.47,ARTE
1015251,Never Gonna Snow Again,2020,3.49,ARTE
1015932,"Apolonia, Apolonia",2022,3.96,ARTE
1015956,This Magnificent Cake!,2018,3.74,ARTE
1016166,The Story of My Wife,2021,3.13,ARTE
1016283,Exterior Night,2022,3.95,ARTE
1016503,Meeting Gorbachev,2018,3.53,ARTE
1016908,Stations of the Cross,2014,3.82,ARTE
1016918,When We Were Bullies,2021,2.2,ARTE
1016966,What Will People Say,2017,3.58,ARTE
1017550,How to Save a Dead Friend,2022,3.99,ARTE
1018272,Jeannette: The Childhood of Joan of Arc,2017,3.35,ARTE
1019641,Sisi & I,2023,3.39,ARTE
1019915,The Farthest,2017,3.92,ARTE
1019973,A Tale of Love and Desire,2021,3.46,ARTE
1020126,Exterminate All the Brutes,2021,4.01,ARTE
1020767,Notes on Blindness,2016,3.76,ARTE
1021656,Offering to the Storm,2020,2.92,ARTE
1021715,Ayka,2018,3.61,ARTE
1021794,The Crossing,2021,3.78,ARTE
1022033,And Tomorrow the Entire World,2020,2.92,ARTE
1022037,Aloys,2016,3.51,ARTE
1022212,Loving Highsmith,2022,3.34,ARTE
1022453,The Salt of Tears,2020,3.27,ARTE
1022584,The Kindness of Strangers,2019,2.83,ARTE
1022889,Lara,2019,3.59,ARTE
1023251,Styx,2018,3.51,ARTE
1024245,The Lost Patient,2022,2.53,ARTE
1024347,The People vs. Fritz Bauer,2015,3.48,ARTE
1024505,My Skinny Sister,2015,3.3,ARTE
1024621,Roads,2019,3.54,ARTE
1024922,In My Room,2018,3.39,ARTE
1024971,Delphine and Carole,2019,3.95,ARTE
1025730,Diplomacy,2014,3.5,ARTE
1025853,We,2021,3.31,ARTE
1026254,Bruno Reidal: Confession of a Murderer,2021,3.5,ARTE
1026783,Last Sentinel,2023,2.59,ARTE
1026920,You Deserve a Lover,2019,3.31,ARTE
1027079,The Audition,2019,3.29,ARTE
1027502,Stefan Zweig: Farewell to Europe,2016,3.5,ARTE
1027811,Selfie,2019,3.66,ARTE
1028069,Dying,2024,3.65,ARTE
1029058,Rewind & Play,2022,3.71,ARTE
1029139,Enfant Terrible,2020,3.2,ARTE
1029680,The Physics of Sorrow,2019,3.92,ARTE
1029892,From Caligari to Hitler,2014,3.59,ARTE
1030310,Becoming Cary Grant,2017,3.37,ARTE
1030383,The Forger,2022,3.01,ARTE
1030868,We Are Young. We Are Strong.,2014,3.51,ARTE
1030935,Eat That Question: Frank Zappa in His Own Words,2016,3.65,ARTE
1031030,Chuck Norris vs Communism,2015,3.55,ARTE
1031411,Age of Cannibals,2014,3.55,ARTE
1032051,CoinCoin and the Extra-Humans,2018,3.79,ARTE
1032930,Aurora's Sunrise,2022,3.77,ARTE
1033115,Exit Plan,2019,2.74,ARTE
1034175,Beloved Sisters,2014,3.33,ARTE
1035087,Northern Comfort,2023,2.68,ARTE
1035403,And Then the Bear,2019,3.66,ARTE
1035416,Pianoforte,2023,3.56,ARTE
1035837,Putin's Witnesses,2018,3.52,ARTE
1036127,Godard Cinema,2022,3.44,ARTE
1036159,Skin Deep,2022,3.33,ARTE
1038004,Ever After,2018,2.76,ARTE
1038896,Kiss Me Before It Blows Up,2020,3.01,ARTE
1039366,Till the End of the Night,2023,2.99,ARTE
1039666,#Female Pleasure,2018,3.72,ARTE
1039728,Black Butterflies,2022,3.76,ARTE
1039877,Axiom,2022,3.51,ARTE
1039969,Dream Boat,2017,2.78,ARTE
1040830,Eami,2022,3.35,ARTE
1042475,Jack,2014,3.51,ARTE
1042496,"I Was, I Am, I Will Be",2019,3.47,ARTE
1042601,Braguino,2017,3.59,ARTE
1042773,Becoming Al Pacino,2022,3.68,ARTE
1043008,Killing for Love,2016,3.36,ARTE
1043033,Gaza,2019,3.61,ARTE
1043760,The Miracle of the Sargasso Sea,2019,3.14,ARTE
1044198,Midwives,2023,3.71,ARTE
1044732,Dear Thomas,2021,3.46,ARTE
1045281,Indiana Jones: The Search for the Lost Golden Age,2021,3.44,ARTE
1045352,Ryan Gosling: Hollywood's Demigod,2018,3.53,ARTE
1045461,Aalto,2020,3.48,ARTE
1045865,Veins of the World,2020,3.54,ARTE
1047154,Elaha,2023,3.51,ARTE
1047497,Walt Disney,2015,3.67,ARTE
1047666,Women Do Cry,2021,3.25,ARTE
1047857,O Beautiful Night,2019,3.42,ARTE
1049000,The Last Execution,2021,3.29,ARTE
1049965,Patti Smith: Electric Poet,2022,3.56,ARTE
1050134,Total Trust,2023,3.54,ARTE
1050301,Escape from Kabul,2021,3.63,ARTE
1050540,Architecton,2024,3.35,ARTE
1051425,The Head Vanishes,2016,3.36,ARTE
1051524,"Navozande, the Musician",2020,3.82,ARTE
1051742,Greetings from Fukushima,2016,3.42,ARTE
1052225,Paula,2016,3.32,ARTE
1052274,Shoah: Four Sisters,2017,3.75,ARTE
1052335,Copilot,2021,3.39,ARTE
1052373,The Most Beautiful Couple,2018,3.48,ARTE
1054466,Home,2020,3.33,ARTE
1054493,The Blade Runner Phenomenon,2021,3.44,ARTE
1054958,Eternal You,2024,3.36,ARTE
1055157,Four Hands,2017,3.32,ARTE
1055661,South Terminal,2019,3.35,ARTE
1056329,Jonathan,2016,3.24,ARTE
1056347,Masel Tov Cocktail,2020,3.83,ARTE
1056446,Piazzolla: The Years of the Shark,2018,3.66,ARTE
