id,name,date,rating,studio
1000268,The Worst Person in the World,2021,4.12,Film i Väst
1000281,Triangle of Sadness,2022,3.69,Film i Väst
1000443,Another Round,2020,4.08,Film i Väst
1000755,The House That Jack Built,2018,3.61,Film i Väst
1001138,Lamb,2021,3.13,Film i Väst
1001198,Atomic Blonde,2017,3.27,Film i Väst
1001644,The Dead Don't Die,2019,2.67,Film i Väst
1001762,Sick of Myself,2022,3.73,Film i Väst
1001776,The Square,2017,3.63,Film i Väst
1002000,Force Majeure,2014,3.88,Film i Väst
1002167,Thelma,2017,3.7,Film i Väst
1002624,Pleasure,2021,3.4,Film i Väst
1002837,The Innocents,2021,3.59,Film i Väst
1002842,Holy Spider,2022,3.62,Film i Väst
1002921,Living,2022,3.57,Film i Väst
1002943,Border,2018,3.56,Film i Väst
1003109,Riders of Justice,2020,3.85,Film i Väst
1003480,Monos,2019,3.7,Film i Väst
1003557,Godland,2022,3.83,Film i Väst
1004172,The Promised Land,2023,3.91,Film i Väst
1004307,About Dry Grasses,2023,4,Film i Väst
1004330,Hatching,2022,3.16,Film i Väst
1004746,A Man Called Ove,2015,3.84,Film i Väst
1004924,The Wild Pear Tree,2018,4.01,Film i Väst
1005136,The Wife,2017,3.43,Film i Väst
1005999,Before I Go to Sleep,2014,2.91,Film i Väst
1006059,The Settlers,2023,3.6,Film i Väst
1006684,Tumbbad,2018,3.65,Film i Väst
1007494,The Wave,2015,3.21,Film i Väst
1007589,Borg vs McEnroe,2017,3.43,Film i Väst
1007730,The Salvation,2014,3.22,Film i Väst
1007927,Brimstone,2016,3.35,Film i Väst
1008178,Sundown,2021,3.38,Film i Väst
1008265,Cairo Conspiracy,2022,3.52,Film i Väst
1009355,"A White, White Day",2019,3.64,Film i Väst
1009650,Sweat,2020,3.4,Film i Väst
1009736,Men & Chicken,2015,3.47,Film i Väst
1010092,Heroic,2023,3.46,Film i Väst
1010139,In Order of Disappearance,2014,3.56,Film i Väst
1010275,Holiday,2018,3.17,Film i Väst
1010395,Their Finest,2016,3.31,Film i Väst
1011904,Koko-di Koko-da,2019,3.06,Film i Väst
1011931,Our Time,2018,3.76,Film i Väst
1012379,The Whistlers,2019,3.26,Film i Väst
1013673,The Kingdom: Exodus,2022,3.85,Film i Väst
1013753,Only You,2018,3.36,Film i Väst
1013864,The Commune,2016,3.23,Film i Väst
1013978,The Burden,2017,3.95,Film i Väst
1014254,Beautiful Beings,2022,3.8,Film i Väst
1014283,To Chiara,2021,3.47,Film i Väst
1014322,Beauty and the Dogs,2017,3.76,Film i Väst
1014590,The Happiest Day in the Life of Olli Mäki,2016,3.65,Film i Väst
1014800,Divine Love,2019,3.12,Film i Väst
1015238,Housekeeping for Beginners,2023,3.6,Film i Väst
1015284,Spoor,2017,3.28,Film i Väst
1015825,Wildling,2018,2.5,Film i Väst
1015833,The Great Escaper,2023,3.33,Film i Väst
1015904,Malmkrog,2020,3.6,Film i Väst
1016087,The Nile Hilton Incident,2017,3.46,Film i Väst
1016802,Andrey Tarkovsky. A Cinema Prayer,2019,3.92,Film i Väst
1016832,"Mother, Couch",2023,3.23,Film i Väst
1016966,What Will People Say,2017,3.58,Film i Väst
1017018,The Absent One,2014,3.45,Film i Väst
1017250,Adult Life Skills,2016,3.5,Film i Väst
1017507,The Ciambra,2017,3.62,Film i Väst
1017706,The Purity of Vengeance,2018,3.58,Film i Väst
1017925,A Conspiracy of Faith,2016,3.44,Film i Väst
1018429,The Girl with the Needle,2024,3.53,Film i Väst
1018910,The Roads Not Taken,2020,2.7,Film i Väst
1019908,Sweet Dreams,2023,3.48,Film i Väst
1020233,Fugue,2018,3.28,Film i Väst
1020362,Every Thing Will Be Fine,2015,2.73,Film i Väst
1020364,Something Must Break,2014,3.66,Film i Väst
1021240,Girls Lost,2015,3.29,Film i Väst
1021571,"And the King Said, What a Fantastic Machine",2023,3.33,Film i Väst
1021771,The King's Choice,2016,3.46,Film i Väst
1022531,Becoming Astrid,2018,3.48,Film i Väst
1022584,The Kindness of Strangers,2019,2.83,Film i Väst
1022814,The Burning Sea,2021,3.02,Film i Väst
1022861,Hope,2019,3.71,Film i Väst
1023531,So Damn Easy Going,2022,3.33,Film i Väst
1023563,Get Santa,2014,2.92,Film i Väst
1024441,Kiki,2016,3.61,Film i Väst
1024505,My Skinny Sister,2015,3.3,Film i Väst
1024887,I Called Him Morgan,2016,3.63,Film i Väst
1024992,Breaking Surface,2020,2.97,Film i Väst
1026203,Bath House,2014,3.42,Film i Väst
1026705,UFO Sweden,2022,3.27,Film i Väst
1026773,Together 99,2023,3.37,Film i Väst
1027200,Good People,2014,2.52,Film i Väst
1028350,Woman of...,2023,3.51,Film i Väst
1028719,A Second Chance,2014,3.26,Film i Väst
