id,name,date,rating,studio
1000080,Anatomy of a Fall,2023,4.15,France 2 Cinéma
1001977,Benedetta,2021,3.46,France 2 Cinéma
1002318,The Taste of Things,2023,3.94,France 2 Cinéma
1002633,Elle,2016,3.71,France 2 Cinéma
1002651,The Sisters Brothers,2018,3.56,France 2 Cinéma
1002691,Youth,2015,3.71,France 2 Cinéma
1003695,"Two Days, One Night",2014,3.9,France 2 Cinéma
1003714,It's Only the End of the World,2016,3.51,France 2 Cinéma
1004310,The Animal Kingdom,2023,3.61,France 2 Cinéma
1004424,"Paris, 13th District",2021,3.58,France 2 Cinéma
1004635,Miss Sloane,2016,3.65,France 2 Cinéma
1005181,Sibyl,2019,3.33,France 2 Cinéma
1006430,Divines,2016,3.85,France 2 Cinéma
1006583,La Belle Époque,2019,3.79,France 2 Cinéma
1007390,Dheepan,2015,3.64,France 2 Cinéma
1007481,The Bélier Family,2014,3.36,France 2 Cinéma
1007776,The Stronghold,2021,3.41,France 2 Cinéma
1007891,Jeanne du Barry,2023,2.97,France 2 Cinéma
1007899,The Crime Is Mine,2023,3.38,France 2 Cinéma
1007970,Full Time,2021,3.83,France 2 Cinéma
1008037,Nothing to Hide,2018,3.08,France 2 Cinéma
1008070,Five,2016,3.39,France 2 Cinéma
1008202,My King,2015,3.65,France 2 Cinéma
1008255,The Unknown Girl,2016,3.39,France 2 Cinéma
1008490,Final Cut,2022,3.36,France 2 Cinéma
1008591,Carmen,2022,3.05,France 2 Cinéma
1009017,See You Up There,2017,3.81,France 2 Cinéma
1009323,Just the Two of Us,2023,3.57,France 2 Cinéma
1009420,The Innocents,2016,3.75,France 2 Cinéma
1009530,In Bed with Victoria,2016,3.35,France 2 Cinéma
1009634,"Someone, Somewhere",2019,3.42,France 2 Cinéma
1009777,Rise,2022,3.68,France 2 Cinéma
1009836,Emilia Pérez,2024,3.68,France 2 Cinéma
1009845,November,2022,3.34,France 2 Cinéma
1010904,Consent,2023,3.49,France 2 Cinéma
1011017,Tori and Lokita,2022,3.56,France 2 Cinéma
1011111,Loro,2018,3.41,France 2 Cinéma
1011287,Wasp Network,2019,2.79,France 2 Cinéma
1011405,Winter Boy,2022,3.54,France 2 Cinéma
1011668,Simone: Woman of the Century,2022,3.64,France 2 Cinéma
1011962,Waiting for Bojangles,2021,3.67,France 2 Cinéma
1012050,Being 17,2016,3.41,France 2 Cinéma
1012113,A Real Job,2023,3.32,France 2 Cinéma
1012245,"Mektoub, My Love: Canto Uno",2017,3.39,France 2 Cinéma
1012511,Peter von Kant,2022,3.11,France 2 Cinéma
1012828,Young Ahmed,2019,3.24,France 2 Cinéma
1013537,Based on a True Story,2017,2.81,France 2 Cinéma
1014268,The New Girlfriend,2014,3.33,France 2 Cinéma
1014899,Toni,2023,3.59,France 2 Cinéma
1015578,My Golden Days,2015,3.61,France 2 Cinéma
1015608,The Man with the Iron Heart,2017,3.12,France 2 Cinéma
1015703,Mr & Mme Adelman,2017,3.72,France 2 Cinéma
1015887,Second Tour,2023,3.14,France 2 Cinéma
1016019,The Braid,2023,3.43,France 2 Cinéma
1016349,Mayhem!,2023,3.27,France 2 Cinéma
1016662,The King of Algiers,2023,3.22,France 2 Cinéma
1016846,Everything Went Fine,2021,3.41,France 2 Cinéma
1017301,"Cyrano, My Love",2018,3.67,France 2 Cinéma
1017496,Our Body,2023,4,France 2 Cinéma
1017833,The Climb,2017,3.12,France 2 Cinéma
1017896,Jimmy's Hall,2014,3.39,France 2 Cinéma
1019028,La Syndicaliste,2022,3.27,France 2 Cinéma
1019124,Little Tickles,2018,3.75,France 2 Cinéma
1019132,On a Magical Night,2019,3.28,France 2 Cinéma
