id,name,date,rating,studio
1004111,Citizenfour,2014,3.95,HBO Documentary Films
1004485,Cobain: Montage of Heck,2015,3.91,HBO Documentary Films
1004764,David Byrne's American Utopia,2020,4.24,HBO Documentary Films
1005333,Going Clear: Scientology and the Prison of Belief,2015,3.81,HBO Documentary Films
1005622,Leaving Neverland,2019,3.47,HBO Documentary Films
1005683,Spielberg,2017,3.78,HBO Documentary Films
1006039,The Jinx: The Life and Deaths of Robert Durst,2015,4.26,HBO Documentary Films
1006676,"Woodstock 99: Peace, Love, and Rage",2021,3.36,HBO Documentary Films
1007520,The Inventor: Out for Blood in Silicon Valley,2019,3.32,HBO Documentary Films
1007752,Mommy Dead and Dearest,2017,3.53,HBO Documentary Films
1008996,Robin Williams: Come Inside My Mind,2018,3.89,HBO Documentary Films
1009531,The Bee Gees: How Can You Mend a Broken Heart,2020,3.86,HBO Documentary Films
1009657,Love Has Won: The Cult of Mother God,2023,3.57,HBO Documentary Films
1010120,David Holmes: The Boy Who Lived,2023,3.85,HBO Documentary Films
1010483,Beware the Slenderman,2016,2.95,HBO Documentary Films
1011296,Andre the Giant,2018,3.67,HBO Documentary Films
1011695,TINA,2021,3.88,HBO Documentary Films
1012233,Heart of a Dog,2015,3.63,HBO Documentary Films
1012352,Brandy Hellville & the Cult of Fast Fashion,2024,2.59,HBO Documentary Films
1012416,"I Love You, Now Die: The Commonwealth v. Michelle Carter",2019,3.56,HBO Documentary Films
1012467,Allen v. Farrow,2021,3.66,HBO Documentary Films
1012488,Telemarketers,2023,3.77,HBO Documentary Films
1012636,Welcome to Chechnya,2020,3.97,HBO Documentary Films
1013032,Street Gang: How We Got to Sesame Street,2021,3.89,HBO Documentary Films
1013036,George Carlin's American Dream,2022,3.99,HBO Documentary Films
1013069,How Do You Measure a Year?,2021,3.28,HBO Documentary Films
1013649,Phoenix Rising,2022,3.91,HBO Documentary Films
1013869,Albert Brooks: Defending My Life,2023,3.56,HBO Documentary Films
1013983,Jane Fonda in Five Acts,2018,3.97,HBO Documentary Films
1014524,I'll Be Gone in the Dark,2020,3.87,HBO Documentary Films
1014777,McMillion$,2020,3.52,HBO Documentary Films
1015069,The Janes,2022,3.84,HBO Documentary Films
1015316,Spring Awakening: Those You've Known,2022,3.86,HBO Documentary Films
1015318,BS High,2023,3.63,HBO Documentary Films
1015429,Showbiz Kids,2020,3.37,HBO Documentary Films
1015516,Q: Into the Storm,2021,3.74,HBO Documentary Films
1015557,Tiger,2021,3.65,HBO Documentary Films
1015650,The Truth vs. Alex Jones,2024,3.66,HBO Documentary Films
1016277,"MoviePass, MovieCrash",2024,3.19,HBO Documentary Films
1016904,The Stroll,2023,3.94,HBO Documentary Films
1017297,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,2016,3.85,HBO Documentary Films
1017378,Rock Hudson: All That Heaven Allowed,2023,3.54,HBO Documentary Films
1017795,Listening to Kenny G,2021,3.73,HBO Documentary Films
1019003,In the Same Breath,2021,3.74,HBO Documentary Films
1019024,Jagged,2021,3.47,HBO Documentary Films
1019289,At the Heart of Gold: Inside the USA Gymnastics Scandal,2019,3.93,HBO Documentary Films
1019449,Everything Is Copy,2015,3.7,HBO Documentary Films
1019564,Four Hours at the Capitol,2021,3.39,HBO Documentary Films
1020126,Exterminate All the Brutes,2021,4.01,HBO Documentary Films
1020746,"Crazy, Not Insane",2020,3.41,HBO Documentary Films
1020860,Time Bomb Y2K,2023,3.18,HBO Documentary Films
1021437,"Great Photo, Lovely Life",2023,3.76,HBO Documentary Films
1021598,A Girl in the River: The Price of Forgiveness,2015,3.83,HBO Documentary Films
1022042,Mapplethorpe: Look at the Pictures,2016,3.67,HBO Documentary Films
1022158,Last Stop Larrimah: Murder Down Under,2023,3.51,HBO Documentary Films
1022589,The Crime of the Century,2021,3.83,HBO Documentary Films
1022952,Elvis Presley: The Searcher,2018,3.78,HBO Documentary Films
1023131,Fake Famous,2021,2.79,HBO Documentary Films
1023584,"Love to Love You, Donna Summer",2023,3.24,HBO Documentary Films
1023786,The Tickle King,2017,3.62,HBO Documentary Films
1023843,Tales of the Grim Sleeper,2014,3.54,HBO Documentary Films
1024079,Murder on Middle Beach,2020,3.8,HBO Documentary Films
1024682,Adrienne,2021,3.64,HBO Documentary Films
1024854,Juice WRLD: Into the Abyss,2021,3.47,HBO Documentary Films
1025322,The Price of Everything,2018,3.61,HBO Documentary Films
1025809,The Super Bob Einstein Movie,2021,3.42,HBO Documentary Films
1026139,Being Mary Tyler Moore,2023,3.61,HBO Documentary Films
1026634,Natalie Wood: What Remains Behind,2020,3.2,HBO Documentary Films
1027667,Ren Faire,2024,3.68,HBO Documentary Films
1029016,Regarding Susan Sontag,2014,3.33,HBO Documentary Films
1029544,Jason Isbell: Running With Our Eyes Closed,2023,3.82,HBO Documentary Films
1030011,The Last Cruise,2021,3.05,HBO Documentary Films
1030143,Going to Mars: The Nikki Giovanni Project,2023,3.58,HBO Documentary Films
1031635,The 50 Year Argument,2014,3.36,HBO Documentary Films
1031650,The Ringleader: The Case of the Bling Ring,2023,3.02,HBO Documentary Films
1032346,Banksy Does New York,2014,3.48,HBO Documentary Films
1033130,Thought Crimes,2015,3.07,HBO Documentary Films
1033642,537 Votes,2020,3.43,HBO Documentary Films
1033737,God Save Texas,2024,3.62,HBO Documentary Films
1034121,My True Brilliant Friend,2018,4.05,HBO Documentary Films
1034209,Between the World and Me,2020,3.82,HBO Documentary Films
1034261,The Case Against Adnan Syed,2019,3.38,HBO Documentary Films
1034306,Very Ralph,2019,3.32,HBO Documentary Films
1034728,The Lady and the Dale,2021,3.57,HBO Documentary Films
1035141,Baby God,2020,3,HBO Documentary Films
1035705,Lil Nas X: Long Live Montero,2023,3.31,HBO Documentary Films
1035756,Jim: The James Foley Story,2016,3.63,HBO Documentary Films
1036175,Black Art: In the Absence of Light,2021,3.77,HBO Documentary Films
1036599,Transhood,2020,3.27,HBO Documentary Films
1037083,Who Killed Garrett Phillips?,2019,3.57,HBO Documentary Films
1037205,After Truth: Disinformation and the Cost of Fake News,2020,3.42,HBO Documentary Films
1037300,Wig,2019,3.41,HBO Documentary Films
1037789,King in the Wilderness,2018,3.78,HBO Documentary Films
1038073,The Apollo,2019,3.51,HBO Documentary Films
1039195,Nuclear Family,2021,3.72,HBO Documentary Films
1041507,Bully. Coward. Victim. The Story of Roy Cohn,2019,3.32,HBO Documentary Films
1042202,An American Bombing: The Road to April 19th,2024,3.3,HBO Documentary Films
1043281,Alabama Snake,2020,2.89,HBO Documentary Films
1043346,NYC Epicenters 9/11➔2021½,2021,3.76,HBO Documentary Films
1043656,Daniel,2023,3.65,HBO Documentary Films
1044142,DMX: Don't Try to Understand,2021,3.33,HBO Documentary Films
1045039,Katrina Babies,2022,3.8,HBO Documentary Films
1045103,The Weight of Gold,2020,3.42,HBO Documentary Films
1045498,Becoming Mike Nichols,2016,3.46,HBO Documentary Films
1045579,The Case Against 8,2014,3.59,HBO Documentary Films
1045623,Arthur Miller: Writer,2017,3.54,HBO Documentary Films
1045679,"Murder in Boston: Roots, Rampage & Reckoning",2023,3.63,HBO Documentary Films
1046070,The Insurrectionist Next Door,2023,2.9,HBO Documentary Films
1046656,Atlanta's Missing and Murdered: The Lost Children,2020,3.62,HBO Documentary Films
1047673,The Seventies,2015,3.81,HBO Documentary Films
1048003,Undercurrent: The Disappearance of Kim Wall,2022,3.35,HBO Documentary Films
1048482,Michelle Wolf: Nice Lady,2017,3.69,HBO Documentary Films
1049152,Donyale Luna: Supermodel,2023,3.53,HBO Documentary Films
1049471,A Choice of Weapons: Inspired by Gordon Parks,2021,3.7,HBO Documentary Films
1050301,Escape from Kabul,2021,3.63,HBO Documentary Films
1050437,Mind Over Murder,2022,3.63,HBO Documentary Films
1050974,Pelosi in the House,2022,3.24,HBO Documentary Films
1051402,Unlocking the Cage,2016,3.41,HBO Documentary Films
1051775,Agents of Chaos,2020,3.6,HBO Documentary Films
1051882,Mr. Saturday Night,2021,3.22,HBO Documentary Films
1051965,You Were My First Boyfriend,2023,3.42,HBO Documentary Films
1052315,I Am Evidence,2017,3.65,HBO Documentary Films
1053509,Burden of Proof,2023,3.52,HBO Documentary Films
1054054,The Scheme,2020,3.45,HBO Documentary Films
1054061,Last Call: When a Serial Killer Stalked Queer New York,2023,3.66,HBO Documentary Films
1054181,"Diana, Our Mother: Her Life and Legacy",2017,3.52,HBO Documentary Films
1054592,Shaq,2022,3.59,HBO Documentary Films
1054953,The Swamp,2020,3.26,HBO Documentary Films
1055075,Endangered,2022,3.53,HBO Documentary Films
